# devnet-10: DigitalOcean droplet / terraform state name -> ansible inventory name.
# The left column is what the DO console and `terraform state list` show.
# Regenerated by scripts/gen-devnet10-inventory.py.
buildoor-lighthouse-geth-1	buildoor-prysm-geth-1
buildoor-lodestar-ethrex-1	buildoor-prysm-ethrex-2
buildoor-prysm-ethrex-1	buildoor-prysm-ethrex-1
buildoor-teku-nethermind-1	buildoor-prysm-nethermind-1
grandine-besu-1	prysm-besu-16
grandine-erigon-1	prysm-erigon-8
grandine-geth-1	prysm-geth-82
grandine-geth-2	prysm-geth-408
grandine-geth-3	prysm-geth-409
grandine-geth-4	prysm-geth-410
grandine-nethermind-1	prysm-nethermind-298
grandine-nethermind-2	prysm-nethermind-299
grandine-nethermind-3	prysm-nethermind-300
grandine-reth-1	prysm-reth-140
lighthouse-besu-1	prysm-besu-1
lighthouse-besu-10	prysm-besu-19
lighthouse-besu-11	prysm-besu-20
lighthouse-besu-12	prysm-besu-21
lighthouse-besu-13	prysm-besu-22
lighthouse-besu-14	prysm-besu-23
lighthouse-besu-15	prysm-besu-24
lighthouse-besu-16	prysm-besu-25
lighthouse-besu-17	prysm-besu-26
lighthouse-besu-18	prysm-besu-27
lighthouse-besu-19	prysm-besu-28
lighthouse-besu-2	prysm-besu-2
lighthouse-besu-20	prysm-besu-29
lighthouse-besu-21	prysm-besu-30
lighthouse-besu-22	prysm-besu-31
lighthouse-besu-23	prysm-besu-32
lighthouse-besu-24	prysm-besu-33
lighthouse-besu-25	prysm-besu-34
lighthouse-besu-26	prysm-besu-35
lighthouse-besu-27	prysm-besu-36
lighthouse-besu-28	prysm-besu-37
lighthouse-besu-29	prysm-besu-38
lighthouse-besu-3	prysm-besu-3
lighthouse-besu-30	prysm-besu-39
lighthouse-besu-31	prysm-besu-40
lighthouse-besu-32	prysm-besu-41
lighthouse-besu-33	prysm-besu-42
lighthouse-besu-34	prysm-besu-43
lighthouse-besu-35	prysm-besu-44
lighthouse-besu-4	prysm-besu-4
lighthouse-besu-5	prysm-besu-5
lighthouse-besu-6	prysm-besu-6
lighthouse-besu-7	prysm-besu-7
lighthouse-besu-8	prysm-besu-17
lighthouse-besu-9	prysm-besu-18
lighthouse-erigon-1	prysm-erigon-1
lighthouse-erigon-10	prysm-erigon-15
lighthouse-erigon-11	prysm-erigon-16
lighthouse-erigon-12	prysm-erigon-17
lighthouse-erigon-13	prysm-erigon-18
lighthouse-erigon-14	prysm-erigon-19
lighthouse-erigon-15	prysm-erigon-20
lighthouse-erigon-16	prysm-erigon-21
lighthouse-erigon-17	prysm-erigon-22
lighthouse-erigon-2	prysm-erigon-2
lighthouse-erigon-3	prysm-erigon-3
